directory,file_name,variable_name,variable_type,description
data/,ploswater.rda,best_oa_location.source.host_organization_lineage,character,
data/,ploswater.rda,best_oa_location.source.host_organization_lineage_names,character,
data/,ploswater.rda,best_oa_location.source.type,character,
data/,ploswater.rda,abstract_inverted_index.water,character,
data/,ploswater.rda,abstract_inverted_index.and,character,
data/,ploswater.rda,abstract_inverted_index.sanitation,character,
data/,ploswater.rda,abstract_inverted_index.programs,numeric,
data/,ploswater.rda,abstract_inverted_index.have,character,
data/,ploswater.rda,abstract_inverted_index.focused,character,
data/,ploswater.rda,abstract_inverted_index.on,character,
data/,ploswater.rda,abstract_inverted_index.value,character,
data/,ploswater.rda,abstract_inverted_index.in,character,
data/,ploswater.rda,abstract_inverted_index.improving,numeric,
data/,ploswater.rda,abstract_inverted_index.conditions,character,
data/,ploswater.rda,abstract_inverted_index.evidence,character,
data/,ploswater.rda,abstract_inverted_index.This,character,
data/,ploswater.rda,abstract_inverted_index.review,character,
data/,ploswater.rda,abstract_inverted_index.identified,character,
data/,ploswater.rda,abstract_inverted_index.empirical,character,
data/,ploswater.rda,abstract_inverted_index.research,character,
data/,ploswater.rda,abstract_inverted_index.that,character,
data/,ploswater.rda,abstract_inverted_index.and/or,character,
data/,ploswater.rda,abstract_inverted_index.reported,character,
data/,ploswater.rda,"abstract_inverted_index.used,",numeric,
data/,ploswater.rda,abstract_inverted_index.methods,character,
data/,ploswater.rda,abstract_inverted_index.if,character,
data/,ploswater.rda,abstract_inverted_index.was,character,
data/,ploswater.rda,abstract_inverted_index.the,character,
data/,ploswater.rda,abstract_inverted_index.A,character,
data/,ploswater.rda,abstract_inverted_index.conceptual,numeric,
data/,ploswater.rda,abstract_inverted_index.model,character,
data/,ploswater.rda,abstract_inverted_index.of,character,
data/,ploswater.rda,abstract_inverted_index.which,character,
data/,ploswater.rda,abstract_inverted_index.includes,character,
data/,ploswater.rda,abstract_inverted_index.three,character,
data/,ploswater.rda,"abstract_inverted_index.resources,",numeric,
data/,ploswater.rda,abstract_inverted_index.institutional,character,
data/,ploswater.rda,abstract_inverted_index.analysis.,numeric,
data/,ploswater.rda,abstract_inverted_index.We,character,
data/,ploswater.rda,abstract_inverted_index.Global,character,
data/,ploswater.rda,abstract_inverted_index.for,character,
data/,ploswater.rda,abstract_inverted_index.peer-reviewed,character,
data/,ploswater.rda,abstract_inverted_index.sources,character,
data/,ploswater.rda,abstract_inverted_index.either,character,
data/,ploswater.rda,abstract_inverted_index.related,character,
data/,ploswater.rda,abstract_inverted_index.terms,character,
data/,ploswater.rda,abstract_inverted_index.from,character,
data/,ploswater.rda,abstract_inverted_index.were,character,
data/,ploswater.rda,abstract_inverted_index.representing,character,
data/,ploswater.rda,abstract_inverted_index.over,character,
data/,ploswater.rda,abstract_inverted_index.used,character,
data/,ploswater.rda,abstract_inverted_index.followed,character,
data/,ploswater.rda,abstract_inverted_index.framework,character,
data/,ploswater.rda,abstract_inverted_index.analysis,character,
data/,ploswater.rda,"abstract_inverted_index.approach,",numeric,
data/,ploswater.rda,abstract_inverted_index.using,character,
data/,ploswater.rda,abstract_inverted_index.as,character,
data/,ploswater.rda,abstract_inverted_index.two,character,
data/,ploswater.rda,abstract_inverted_index.additional,character,
data/,ploswater.rda,abstract_inverted_index.relevant,numeric,
data/,ploswater.rda,abstract_inverted_index.to,character,
data/,ploswater.rda,abstract_inverted_index.The,character,
data/,ploswater.rda,abstract_inverted_index.majority,numeric,
data/,ploswater.rda,abstract_inverted_index.or,character,
data/,ploswater.rda,abstract_inverted_index.published,numeric,
data/,ploswater.rda,abstract_inverted_index.since,character,
data/,ploswater.rda,abstract_inverted_index.proportion,character,
data/,ploswater.rda,abstract_inverted_index.studies,character,
data/,ploswater.rda,abstract_inverted_index.half,character,
data/,ploswater.rda,abstract_inverted_index.yet,numeric,
data/,ploswater.rda,abstract_inverted_index.only,character,
data/,ploswater.rda,abstract_inverted_index.provided,character,
data/,ploswater.rda,abstract_inverted_index.a,character,
data/,ploswater.rda,abstract_inverted_index.least,character,
data/,ploswater.rda,abstract_inverted_index.assessing,character,
data/,ploswater.rda,abstract_inverted_index.are,character,
data/,ploswater.rda,abstract_inverted_index.is,character,
