directory,file_name,variable_name,variable_type,description
data/,ploswater.rda,best_oa_location.source.is_in_doaj,logical,NA
data/,ploswater.rda,best_oa_location.source.is_core,logical,NA
data/,ploswater.rda,best_oa_location.source.host_organization,character,NA
data/,ploswater.rda,best_oa_location.source.host_organization_name,character,NA
data/,ploswater.rda,best_oa_location.source.host_organization_lineage,character,NA
data/,ploswater.rda,best_oa_location.source.host_organization_lineage_names,character,NA
data/,ploswater.rda,best_oa_location.source.type,character,NA
data/,ploswater.rda,abstract_inverted_index.water,character,NA
data/,ploswater.rda,abstract_inverted_index.and,character,NA
data/,ploswater.rda,abstract_inverted_index.sanitation,character,NA
data/,ploswater.rda,abstract_inverted_index.programs,numeric,NA
data/,ploswater.rda,abstract_inverted_index.have,character,NA
data/,ploswater.rda,abstract_inverted_index.focused,character,NA
data/,ploswater.rda,abstract_inverted_index.on,character,NA
data/,ploswater.rda,abstract_inverted_index.value,character,NA
data/,ploswater.rda,abstract_inverted_index.in,character,NA
data/,ploswater.rda,abstract_inverted_index.improving,numeric,NA
data/,ploswater.rda,abstract_inverted_index.conditions,character,NA
data/,ploswater.rda,abstract_inverted_index.evidence,character,NA
data/,ploswater.rda,abstract_inverted_index.This,character,NA
data/,ploswater.rda,abstract_inverted_index.review,character,NA
data/,ploswater.rda,abstract_inverted_index.identified,character,NA
data/,ploswater.rda,abstract_inverted_index.empirical,character,NA
data/,ploswater.rda,abstract_inverted_index.research,character,NA
data/,ploswater.rda,abstract_inverted_index.that,character,NA
data/,ploswater.rda,abstract_inverted_index.and/or,character,NA
data/,ploswater.rda,abstract_inverted_index.reported,character,NA
data/,ploswater.rda,"abstract_inverted_index.used,",numeric,NA
data/,ploswater.rda,abstract_inverted_index.methods,character,NA
data/,ploswater.rda,abstract_inverted_index.if,character,NA
data/,ploswater.rda,abstract_inverted_index.was,character,NA
data/,ploswater.rda,abstract_inverted_index.the,character,NA
data/,ploswater.rda,abstract_inverted_index.A,character,NA
data/,ploswater.rda,abstract_inverted_index.conceptual,numeric,NA
data/,ploswater.rda,abstract_inverted_index.model,character,NA
data/,ploswater.rda,abstract_inverted_index.of,character,NA
data/,ploswater.rda,abstract_inverted_index.which,character,NA
data/,ploswater.rda,abstract_inverted_index.includes,character,NA
data/,ploswater.rda,abstract_inverted_index.three,character,NA
data/,ploswater.rda,"abstract_inverted_index.resources,",numeric,NA
data/,ploswater.rda,abstract_inverted_index.institutional,character,NA
data/,ploswater.rda,abstract_inverted_index.analysis.,numeric,NA
data/,ploswater.rda,abstract_inverted_index.We,character,NA
data/,ploswater.rda,abstract_inverted_index.Global,character,NA
data/,ploswater.rda,abstract_inverted_index.for,character,NA
data/,ploswater.rda,abstract_inverted_index.peer-reviewed,character,NA
data/,ploswater.rda,abstract_inverted_index.sources,character,NA
data/,ploswater.rda,abstract_inverted_index.either,character,NA
data/,ploswater.rda,abstract_inverted_index.related,character,NA
data/,ploswater.rda,abstract_inverted_index.terms,character,NA
data/,ploswater.rda,abstract_inverted_index.from,character,NA
data/,ploswater.rda,abstract_inverted_index.were,character,NA
data/,ploswater.rda,abstract_inverted_index.representing,character,NA
data/,ploswater.rda,abstract_inverted_index.over,character,NA
data/,ploswater.rda,abstract_inverted_index.used,character,NA
data/,ploswater.rda,abstract_inverted_index.followed,character,NA
data/,ploswater.rda,abstract_inverted_index.framework,character,NA
data/,ploswater.rda,abstract_inverted_index.analysis,character,NA
data/,ploswater.rda,"abstract_inverted_index.approach,",numeric,NA
